Asset No.,Department,Capitalization Date,QTY,Overall QTY,BUn,Asset description,Other Identifiers,,Status,Corrective Action Taken                                                                              ,
3349,Mechanical,3/31/2015,1,1,SET,"HYDRAULIC LOCK NUT CYLINDER, BRAND-ENERPAC (MEC)",,,Operational In Good Condition,,
3350,Mechanical,3/31/2015,1,1,SET,"HYDRAULIC LOCK NUT CYLINDER, BRAND-ENERPAC (MEC)",,,Operational In Good Condition,,
3364,Mechanical,3/31/2015,1,1,SET,"HYDRAULIC LOCK NUT CYLINDER, BRAND-ENERPAC (MEC)",,,Operational In Good Condition,,
3365,Mechanical,3/31/2015,1,1,SET,"HYDRAULIC LOCK NUT CYLINDER, BRAND-ENERPAC (MEC)",,,Operational In Good Condition,,
3457,Mechanical,8/31/2015,1,1,UN,THERMOMETER-DUAL FUNCTION INFRARED (MECH),Found Operational. BOSCH GIC 120C. S/N : 132003564,,Operational In Good Condition,,
3458,Mechanical,8/31/2015,1,1,UN,THERMOMETER-DUAL FUNCTION INFRARED (MECH),Found Operational. BOSCH GIC 120C. S/N:02200958,,Operational In Good Condition,,
3459,Mechanical,8/31/2015,1,1,UN,THERMOMETER-DUAL FUNCTION INFRARED (MECH),Found Operational. BOSCH GIS 1000C. S/N:230020764,,Operational In Good Condition,,
3460,Mechanical,8/31/2015,1,1,UN,THERMOMETER-DUAL FUNCTION INFRARED (MECH),Found Operational. BOSCH GIS 1000C. S/N:232021794,,Operational In Good Condition,,
3461,Mechanical,8/31/2015,1,1,UN,THERMOMETER-DUAL FUNCTION INFRARED (MECH),,,Operational In Good Condition,,
3462,Mechanical,8/31/2015,1,1,UN,"CALIPER, VERNIER 300MM, MODEL CN 530-115 (MECH)",Found operational. S/N: 18033201,,Operational In Good Condition,,
3464,Mechanical,8/31/2015,1,1,UN,"CALIPER, VERNIER 300MM, MODEL CN 530-115 (MECH)",Found operational. S/N: 13174411,,Operational In Good Condition,,
3465,Mechanical,8/31/2015,1,1,UN,"CALIPER, VERNIER 300MM, MODEL CN 530-115 (MECH)",Found operational. S/N : 605582332,,Operational In Good Condition,,
3567,Mechanical,1/1/2016,1,1,UN,"GREASE ANALYZER, MODEL: SDM-72 (MEC)",Found Operational. S/N : R200532,,Operational In Good Condition,,
3682,Mechanical,7/31/2017,1,1,UN,"JACK, HYDRAULIC CYLINDER, Model No. CLRG-2006",Found Operational @ Mech Fabrication Area,,Operational In Good Condition,,
3743,Mechanical,2/28/2018,1,1,UN,"CHAIN BLOCK, 5 TON CAP. MOTORIZED LIFTING (MECH)",Found Operational. Two(2) items tagged. S/N : 24934 & 87568,,Operational In Good Condition,,
3811,Mechanical,12/31/2018,1,1,SET,"MONITORING PEN, VIBRATION & TEMP; SKF CMAS100-SL",,,Operational In Good Condition,,
3812,Mechanical,12/31/2018,1,1,SET,"MONITORING PEN, VIBRATION & TEMP; SKF CMAS100-SL",,,Operational In Good Condition,,
3818,Mechanical,12/31/2018,1,1,PC,"CHAIN BLOCK, 10TON CAPX3M LIFT; MODEL:CB-100; KITO",,,Operational In Good Condition,,
3819,Mechanical,12/31/2018,1,1,PC,"CHAIN BLOCK, 10TON CAPX3M LIFT; MODEL:CB-100; KITO",,,Operational In Good Condition,,
3824,Mechanical,12/31/2018,1,1,PC,"CHAIN BLOCK, 15TON CAPX3.5M LIFT; CB-150; KITO",Found Operational. S/N : 769619,,Operational In Good Condition,,
3825,Mechanical,12/31/2018,1,1,PC,"CHAIN BLOCK, 15TON CAPX3.5M LIFT; CB-150; KITO",Found Operational. S/N : 769617,,Operational In Good Condition,,
3826,Mechanical,12/31/2018,1,1,PC,"CHAIN BLOCK, 15TON CAPX3.5M LIFT; CB-150; KITO",Found Operational. S/N : 769620,,Operational In Good Condition,,
3827,Mechanical,12/31/2018,1,1,PC,"CHAIN BLOCK, 15TON CAPX3.5M LIFT; CB-150; KITO",Found Operational. S/N : 667592,,Operational In Good Condition,,
